YEAR,CITY,SPORT,ATHLETE,COUNTRY,GENDER,EVENT,MEDAL
2014,Sochi,Ice Hockey,"MULLER, Alina",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Ice Hockey,"NABHOLZ, Katrin",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Bobsleigh,"NIKITINA, Elena",RUS,Women,Individual,Bronze
2014,Sochi,Skiing,"NILSSON, Stina",SWE,Women,Team Sprint,Bronze
2014,Sochi,Skiing,"NYSTAD, Claudia",GER,Women,4X5KM Relay,Bronze
2014,Sochi,Biathlon,"OBERHOFER, Karin",ITA,Women,Relay Mix,Bronze
2014,Sochi,Skiing,"ONOZUKA, Ayana",JPN,Women,Ski Halfpipe,Bronze
2014,Sochi,Skating,"PARK, Seung-Hi",KOR,Women,500M,Bronze
2014,Sochi,Skating,"PERETTI, Lucia",ITA,Women,3000M Relay,Bronze
2014,Sochi,Ice Hockey,"RASELLI, Evelina",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Skiing,"REBENSBURG, Viktoria",GER,Women,Giant Slalom,Bronze
2014,Sochi,Skating,"SAVCHENKO, Aliona",GER,Women,Pairs,Bronze
2014,Sochi,Ice Hockey,"SCHELLING, Florence",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Biathlon,"SEMERENKO, Vita",UKR,Women,7.5KM,Bronze
2014,Sochi,Skating,"SHIKHOVA, Yekaterina",RUS,Women,Team Pursuit,Bronze
2014,Sochi,Skating,"SHIM, Suk Hee",KOR,Women,1000M,Bronze
2014,Sochi,Biathlon,"SKARDINO, Nadezhda",BLR,Women,15KM,Bronze
2014,Sochi,Skating,"SKOKOVA, Yuliya",RUS,Women,Team Pursuit,Bronze
2014,Sochi,Curling,"SLOAN, Anna",GBR,Women,Curling,Bronze
2014,Sochi,Ice Hockey,"STAENZ, Phoebe",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Ice Hockey,"STALDER, Lara",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Skiing,"STEIRA, Kristin Stoermer",NOR,Women,30KM,Bronze
2014,Sochi,Ice Hockey,"STIEFEL, Anja",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Ice Hockey,"THALMANN, Sandra",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Luge,"TIRUMA, Eliza",LAT,Women,Mixed Relay,Bronze
2014,Sochi,Skiing,"TRESPEUCH, Chloe",FRA,Women,Snowboard Cross,Bronze
2014,Sochi,Skating,"VALCEPINA, Martina",ITA,Women,3000M Relay,Bronze
2014,Sochi,Skating,"van BEEK, Lotte",NED,Women,1500M,Bronze
2014,Sochi,Skating,"VIVIANI, Elena",ITA,Women,3000M Relay,Bronze
2014,Sochi,Ice Hockey,"WAIDACHER, Nina",SUI,Women,Ice Hockey,Bronze
2014,Sochi,Skiing,"WENG, Heidi",NOR,Women,Combined7.5+7.5,Bronze
2014,Sochi,Biathlon,"WIERER, Dorothea",ITA,Women,Relay Mix,Bronze
2014,Sochi,Skiing,"ZAVARZINA, Alena",RUS,Women,Giant Parall.S.,Bronze
2014,Sochi,Skiing,"ZETTEL, Kathrin",AUT,Women,Slalom,Bronze
